feedGuid,itemGuid,title,artist,feedUrl,feedTitle,episodeId,feedId
"6bf3785f-e053-57f4-9f70-261ee5e3747f","f9683d28-70df-4112-95c4-490c0383c3c9","Hyssop Branches","Doerfel Family Bluegrass","https://www.doerfelverse.com/feeds/dfbv2.xml","DFB Volume 2","26915554132","6998605"
"6bf3785f-e053-57f4-9f70-261ee5e3747f","d60032f3-ce45-45c4-81fc-26ff0394a248","Bipolar","Doerfel Family Bluegrass","https://www.doerfelverse.com/feeds/dfbv2.xml","DFB Volume 2","26915554139","6998605"
"6bf3785f-e053-57f4-9f70-261ee5e3747f","a12d4410-03e0-44fd-bc8b-890760541a93","C.R.V.P.","Doerfel Family Bluegrass","https://www.doerfelverse.com/feeds/dfbv2.xml","DFB Volume 2","26915554155","6998605"
"de032037-63e0-5c6b-820d-13d4319a2b19","e046f9dd-aca3-4c7a-b396-2148a90ac0f2","Breathe","The Greensands","https://wavlake.com/feed/music/169e65e4-c3fa-471f-a473-b75f3890848b","Breathe EP","36065182527","7295699"
"377602c1-b049-5c14-bddf-eb4e349bee5c","3634469f-61ad-4e42-97f2-f1335c6ad267","Going Gold","The Greensands","https://wavlake.com/feed/music/87c4f77c-f400-4548-bb7d-78f1ec8a7fa9","Going Gold Single","36065182528","7295700"
"5a95f9d8-35e3-51f5-a269-ba1df36b4bd8","822d7113-eab2-4857-82d2-cc0c1a52ce2b","Heartbreak (album version)","The Doerfels","https://www.doerfelverse.com/feeds/bloodshot-lies-album.xml","Bloodshot Lies - The Album","40193907266","7365153"
"de032037-63e0-5c6b-820d-13d4319a2b19","24f655ae-8918-4089-8f2c-4c5ef612088b","Kid Yourself EP","The Greensands","https://wavlake.com/feed/music/169e65e4-c3fa-471f-a473-b75f3890848b","Breathe EP","36065182526","7295699"
"5a95f9d8-35e3-51f5-a269-ba1df36b4bd8","24d8aa8b-317c-4f03-86d2-65c454370fb8","Movie (album version)","The Doerfels","https://www.doerfelverse.com/feeds/bloodshot-lies-album.xml","Bloodshot Lies - The Album","40193907265","7365153"
"092e8cd8-6f44-5189-b574-9c0a5881b334","35e81e15-6820-4f83-9a3d-4ef2cf0da14b","Endless Deja Vu","My Friend Jimi","https://wavlake.com/feed/music/2b5b26a9-3b7a-4f78-9db2-424d94b182d8","Endless Deja Vu","21060896668","6867688"
"e1e1fed5-4ca3-55b0-9370-182287ec24e5","86a439b0-6b51-46a4-86f3-2490b7ca34ad","Kid Yourself","The Greensands","https://wavlake.com/feed/music/ec5905f8-0f48-4ce8-ab8e-9a4a959a2104","Kid Yourself Single","36065182529","7295701"
